earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment,sat_scaled
33140,93,0.9048,1040,23301,0.4854,0.3158,12749,Private Nonprofit,7,10.408496290980557,4.543294782270004,-0.966794472344835
54670,7747,0.7553,1116,23738,0.2348,0.5728,15784,Public,7,10.909070391889044,8.955190024526887,-0.4543656271869768
48473,1041,0.491,1180,50542,0.2517,0.6254,17000,Private Nonprofit,7,10.788762220879091,6.948897222313312,-0.022846599685622606
51719,1024,0.6474,1130,55163,0.2976,0.7076,16826,Private Nonprofit,7,10.853580497818747,6.932447891572509,-0.35997083992105555
53406,44397,0.9575,1118,15246,0.243,0.5548,8750,Private Nonprofit,7,10.885678378186986,10.700949702360711,-0.44088065757755945
62971,2490,0.6268,1165,63553,0.24,0.7286,26000,Private Nonprofit,3,11.050429581934749,7.820439515262181,-0.1239838717562525
58709,3974,0.8085,1076,40625,0.4495,0.6032,15500,Private Nonprofit,3,10.980348316039723,8.287780027088433,-0.7240650193753232
91885,7569,0.0448,1554,90360,0.1526,0.9585,13368,Private Nonprofit,3,11.428293074129524,8.931948346431495,2.4988427172754157
68751,14090,0.7589,1262,63052,0.3178,0.678,19383,Private Nonprofit,3,11.13824656087758,9.553291574695104,0.5300371543004875
51989,4188,0.6535,1000,26996,0.2941,0.4736,15722,Public,3,10.85878743672461,8.340217320947035,-1.2364938645331813
61462,3006,0.7364,1151,54679,0.3681,0.7,15000,Private Nonprofit,3,11.026174376645413,8.008698182988528,-0.21837865902217374
46827,955,0.975,1038,45091,0.3889,0.3982,15000,Private Nonprofit,3,10.754215238626523,6.862757913051401,-0.9802794419542522
68740,22170,0.7735,1250,27521,0.4893,0.6162,13657,Public,3,11.138086550403823,10.00654040759221,0.4491273366439835
81054,36258,0.4237,1440,33642,0.2341,0.8513,16500,Public,3,11.302870878197735,10.498442905329538,1.7301994495386288
70871,1582,0.3931,1275,70700,0.2633,0.747,23221,Private Nonprofit,3,11.168616602047631,7.367077059881012,0.6176894567617001
52575,930,0.7819,1064,48955,0.3839,0.6382,14746,Private Nonprofit,3,10.8699960005709,6.836259277277067,-0.804974837031827
82592,2833,0.5493,1311,68164,0.3001,0.7521,20687,Private Nonprofit,3,11.32166810251834,7.949444420250626,0.8604189097312117
62117,19057,0.8815,1113,34309,0.3207,0.6454,15750,Public,3,11.036774982471208,9.855242239908131,-0.47459308160110275
56313,708,0.4759,1039,43137,0.3871,0.5987,14000,Private Nonprofit,3,10.938680693334582,6.5638555265321274,-0.9735369571495436
54820,1127,0.7079,1326,68134,0.3087,0.6773,23852,Private Nonprofit,3,10.911810369856775,7.028201432058005,0.9615561818018417
61825,1813,0.5681,1343,70655,0.3224,0.7778,21500,Private Nonprofit,3,11.032063092389617,7.503289630675082,1.0761784234818887
66099,4015,0.7129,1096,47313,0.3255,0.6661,18750,Private Nonprofit,3,11.0989088971323,8.298041661371565,-0.58921532328115
