earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment
66677,2759,0.8843,1195,56313,0.3515,0.6179,19710,2,8,11.107615344850805,7.9229859587111955
37291,17280,NA,NA,22018,0.304,0.207,9500,1,8,10.526507289654278,9.757362911053992
35104,2657,NA,NA,22193,0.4925,NA,3463,1,8,10.466070363074957,7.885329239273191
23576,341,NA,NA,NA,0.6122,NA,6333,3,8,10.06798452441753,5.834810737062605
56778,3474,0.7435,1261,62757,0.2604,0.676,19000,2,8,10.946904205736288,8.1533497579988925
68767,307,NA,NA,NA,0.7261,NA,9500,3,8,11.138479257689228,5.730099782973574
40283,2506,NA,NA,26732,0.7459,0.4056,13763,3,6,10.603684822708555,7.826842098158293
41810,8890,NA,NA,15509,0.3475,NA,8250,1,8,10.640890824350612,9.09279480812114
48848,38,NA,NA,NA,0.4561,NA,18750,2,8,10.79646871497466,3.6635616461296463
44114,8002,NA,NA,24966,0.2441,NA,9500,1,8,10.694532471372533,8.987571750367046
61504,8179,0.8488,NA,54038,0.4206,0.6188,20500,2,8,11.026857492329965,9.009447429596793
49414,990,0.911,NA,79776,0.2509,0.6122,19500,2,8,10.807989063835306,6.898714534329988
128566,987,0.0257,NA,86886,0.1799,0.9437,12000,2,8,11.764197670137529,6.895682697747868
68712,2296,0.7567,1266,68426,0.3109,0.696,18970,2,8,11.13767913544606,7.739359202689098
90768,21996,0.3132,NA,32265,0.1924,0.864,15396,1,8,11.416062079566348,9.998661359405723
66666,391,0,NA,NA,0.0169,NA,12500,3,8,11.107450356812064,5.971261839790462
59009,8577,0.9385,NA,19522,0.6065,0.498,11270,1,8,10.985445253627333,9.056956065076825
63188,8385,0.9814,NA,19739,0.5519,0.5345,11750,1,8,11.053869688688987,9.034318927730707
59977,15023,0.9374,NA,17427,0.5762,0.549,12445,1,8,11.001716434379901,9.617404201448045
71902,25042,0.7517,NA,23955,0.4633,0.6843,13437,1,8,11.183059359733951,10.128349626344303
64172,13631,0.9272,NA,26283,0.4252,0.6278,14500,1,8,11.069322257470967,9.520175249069098
57162,12538,0.933,NA,23191,0.6333,0.4279,11902,1,8,10.953644620934835,9.436599066190539
61244,21605,0.9526,NA,20095,0.5697,0.5696,12463,1,8,11.022621164424987,9.98072633287693
62951,38546,0.9052,NA,18269,0.4807,0.7018,12000,1,8,11.050111924969828,10.55963355495159
71401,9809,0.9739,NA,22850,0.444,0.4795,12500,1,8,11.17606715383184,9.191157552559408
64403,35924,0.4627,NA,22679,0.5018,0.6888,12227,1,8,11.072915494858382,10.489188710947225
59211,19562,0.9125,NA,18403,0.663,0.5298,11966,1,8,10.988862614422217,9.881395306061313
59115,32691,0.9345,NA,20485,0.5607,0.5695,12000,1,8,10.987239978297215,10.39488567863602
64876,28350,0.9399,NA,22945,0.4913,0.5629,12500,1,8,11.08023303460758,10.252417581902414
92446,33068,0.1098,NA,45619,0.2864,0.9284,12000,1,8,11.434379969248631,10.406351566631425
80838,32253,0.4183,NA,41238,0.3135,0.8567,11000,1,8,11.300202430983903,10.381397345540462
80735,30197,0.2857,NA,38632,0.361,0.8687,13820,1,8,11.298927465315721,10.315530976004416
82511,33475,0.0897,NA,38614,0.2824,0.9262,12983,1,8,11.320686896768008,10.418584043152764
67699,22593,0.7639,NA,38942,0.4695,0.7596,14944,1,8,11.12282668774253,10.025439663286875
84943,34948,0.2671,NA,38701,0.342,0.8605,14778,1,8,11.3497357222923,10.461645134949325
74915,23113,0.3297,NA,41573,0.2785,0.8303,11875,1,8,11.224109416477244,10.048193773535386
